name,address,googleMap,price,phone,hours,website,style
เดอะ มัสแตง บลู (The Mustang Blu),721 ถนนไมตรีจิตต์ แขวงป้อมปราบ เขตป้อมปราบศัตรูพ่าย กรุงเทพมหานคร,https://maps.app.goo.gl/vKAJb4CyMvy9Qe4m9,500 – 1,000 บาท,,,,
Ryoku Cafe,ซอยสุขุมวิท 35 แขวงคลองตันเหนือ เขตวัฒนา กรุงเทพมหานคร,https://maps.app.goo.gl/X3Pa51wBWQDvdsYz9,250 – 500 บาท,,,,
หมอก คาเฟ่ (Mok Cafe),123/1 ถนนประเสริฐมนูกิจ แขวงรามอินทรา เขตคันนายาว กรุงเทพมหานคร,https://maps.app.goo.gl/DAFG18CHr4tPhYyD6,100 – 250 บาท,,,,
พากาไมโครโรสเตอรี่ (Paga Microroastery),45/1, ซอยสุขุมวิท 31 ถนนสุขุมวิท คลองตันเหนือ วัฒนา กรุงเทพมหานคร,https://maps.app.goo.gl/FfbAzyQHx9bDyH3e6,100 – 250 บาท,,,,
Brioche from Heaven,156, ถนนนราธิวาส สีลม บางรัก กรุงเทพมหานคร,https://maps.app.goo.gl/s7KERLnGU5dCeihW9,101 – 250 บาท,,,,
Unbirthday Cafe,2C มาเป็งเส็ง อพาร์ทเม้นท์ สุขุมวิท 31, แขวงคลองตันเหนือ เขตวัฒนา กรุงเทพฯ,https://goo.gl/maps/SrATrRhVvNnuWJrb6,100 – 250 บาท,0851453181,09.00 – 19.00 น.,,
TRUST Cafe and Studio,23 ซอยชำนาญอักษร แขวงสามเสนใน เขตพญาไท กรุงเทพฯ,https://goo.gl/maps/1QJYzKuPboztyEnP7,100 – 200 บาท,0933774265,11.00 – 19.00 น.,https://www.facebook.com/trustcafeandstudio,Studio
Tangible Bangkok,มโหสวรรย์ 6 แขวงบางคอแหลม เขตบางคอแหลม กรุงเทพฯ,https://goo.gl/maps/e87zSvTAWfNPz1mu9เบอร์,,https://www.facebook.com/Tangiblebkk,Rustic,100 – 300 บาท
The Hub Cafe And Eatery,199/9 เสรี 9 ซอย 4/1 แขวงสวนหลวง กรุงเทพฯ,https://goo.gl/maps/zw4SQSuPn5V6w65H7,250 – 500 บาท,0927897181,10.00 – 21.00 น.,https://www.facebook.com/thehubcafeandeatery ,Modern
ชวนพิสมัย คาเฟ่ (Chuan Pisama),179 ซอย เจริญพร 1 แขวงสามเสนใน เขตพญาไท กรุงเทพฯ,https://goo.gl/maps/QPd2MdZzeJcPEp4f6,100 – 250 บาท,0955540638,7.30 – 18.30 น. (ปิดวันจันทร์),https://www.facebook.com/ChuanPisamai,Vintage
Other Café,101/7 ถนน รางน้ำ แขวงถนนพญาไท เขตราชเทวี กรุงเทพฯ,https://goo.gl/maps/JibQdGVpQ7K9GxwPA,100 – 250 บาท,0646152893 ,08.00 – 19.00 น.,https://www.facebook.com/othercafe8 ,Minimal
สุขโข สโลว์บาร์ (Sukko Slow Bar),3 ซอย ประดิพัทธิ์ 19 แขวงสามเสนใน เขตพญาไท กรุงเทพฯ,https://goo.gl/maps/AnAgQys1jni5EqSm8,100 – 200 บาท,0825156009,10.00 -18.00 น. (ปิดวันอังคาร),https://www.facebook.com/Sukko.slowbar ,Vintage
ริ คาเฟ่ (Ri Cafe),16/78 ลาดพร้าว 18 แยก 3 ถนนลาดพร้าว ซอยลาดพร้าว 15 เขตจตุจักร กรุงเทพฯ,https://goo.gl/maps/5dDmAVof7rsp32WW7,100 – 200 บาท,0893542999,10.00 – 18.00 น.,https://www.facebook.com/Ri.Cafe.Friends ,Cartoon Character
Favour Café,ซอยทวีผล แขวงพระบรมมหาราชวัง เขตพระนคร กรุงเทพฯ,https://goo.gl/maps/U2SPmcLEfn95ecKs7เบอร์,100 – 250 บาท,0909096751,09.00 – 19.00 น.,https://www.facebook.com/favourcafe ,Loft Industry
Blackwood Cafe & Studio,1839, 1841 ถนนเจริญกรุง แขวงยานนาวา เขตสาทร กรุงเทพฯ,https://goo.gl/maps/rQ77iC2hMJNxzCSt9,100 – 150 บาท,0863917721,07.30 – 21.00 น. ,https://www.facebook.com/profile.php?id=100063554533261 ,Loft
Sarnies,101, 103 ซอย เจริญกรุง 44 แขวงบางรัก เขตบางรัก กรุงเทพฯ,https://goo.gl/maps/vw3FJayivCo5qXnb6,100 – 250 บาท,021029407,08.00 – 22.00 น.,https://sarnies.com/Bangkok ,Loft Vintage
Beaker and Bitter,4 ซอยสายลม 1 แขวงสามเสนใน เขตพญาไท กรุงเทพฯ ,https://goo.gl/maps/2nyYd5ce6f9RQgvL8เบอร์,100 – 250 บาท,0829896946,08.00 – 20.00 น. ,,
VAREN,14 ถนนตรีเพชร แขวงวังบูรพาภิรมย์ เขตพระนคร กรุงเทพฯ,https://goo.gl/maps/zUjbwfN1e35rDjGw8,100 – 200 บาท,0816929999,08.00 – 17.00 น.,https://www.facebook.com/varenbkk ,Minimal
B-STORY,โรงแรม Kimpton Maa-Lai กรุงเทพฯ , 78 ซอยต้นสน แขวงลุมพินี เขตปทุมวัน กรุงเทพฯ,https://goo.gl/maps/wPy5wbroCqdDZsjF7,150 – 500 บาท,020569999,07.00 – 24.00 น.,https://www.facebook.com/profile.php?id=100063552873457 ,English Country
ภูริตัน (Puritan),46/1, ซอยอารีย์ 5 ถนนพหลโยธิน แขวงสามเสนใน เขตพญาไท กรุงเทพมหานคร,https://maps.app.goo.gl/d6ztex1SGo1vJpi5A,250-500 บาท,,,,
Piccolo Vicolo Café,535 ตรอก พระราม 6 ซอย 17 แขวงถนนเพชรบุรี เขตราชเทวี กรุงเทพฯ,https://goo.gl/maps/RJXKNEdV1Ume4rbXA,100 – 250 บาท,0658168982,09.00 – 17.00 น. (ปิดวันอังคาร),https://www.facebook.com/profile.php?id=100075955778521 ,Vintage Loft
บ้านอากงอาม่า (My Grandparent’s House),253 ซอย สมเด็จเจ้าพระยา 3 แขวงสมเด็จเจ้าพระยา เขตคลองสาน กรุงเทพฯ,https://goo.gl/maps/XrwMKgiRGTjyQq8y8,100 – 250 บาท,024375183,10.00 – 18.00 น. (ปิดวันพุธ),https://www.facebook.com/mygpshouse,Classic Chinese
ครึ้ม คาเฟ่ (Kreum Cafe),259 68 ซอย ปรีดี พนมยงค์ 11 แขวงพระโขนงเหนือ เขตวัฒนา กรุงเทพฯ,https://goo.gl/maps/MRCKHwb2QJpnyp3u9,100 – 250 บาท,0817342343,10.00 – 17.00 น. (ปิดวันพฤหัสบดี),,
ฮาเตียน คาเฟ่ (Hatien Cafe),4 ถนนมหาราช แขวงพระบรมมหาราชวัง เขตพระนคร กรุงเทพฯ,https://goo.gl/maps/9czQjududac4GEjp7,100 – 250 บาท,0824655549,10.00 – 18.00 น. ,https://www.facebook.com/hatiencafebkk,Classic
