name,address,googleMap,price
"เดอะ มัสแตง บลู (The Mustang Blu)","721 ถนนไมตรีจิตต์ แขวงป้อมปราบ เขตป้อมปราบศัตรูพ่าย กรุงเทพมหานคร\n","https://maps.app.goo.gl/vKAJb4CyMvy9Qe4m9\n","500 – 1,000 บาท\n"
"Ryoku Cafe","ซอยสุขุมวิท 35 แขวงคลองตันเหนือ เขตวัฒนา กรุงเทพมหานคร\n","https://maps.app.goo.gl/X3Pa51wBWQDvdsYz9\n","250 – 500 บาท\n"
"หมอก คาเฟ่ (Mok Cafe)","123/1 ถนนประเสริฐมนูกิจ แขวงรามอินทรา เขตคันนายาว กรุงเทพมหานคร\n","https://maps.app.goo.gl/DAFG18CHr4tPhYyD6\n","100 – 250 บาท\n"
"พากาไมโครโรสเตอรี่ (Paga Microroastery)","45/1, ซอยสุขุมวิท 31 ถนนสุขุมวิท คลองตันเหนือ วัฒนา กรุงเทพมหานคร\n","https://maps.app.goo.gl/FfbAzyQHx9bDyH3e6\n","100 – 250 บาท\n"
"Brioche from Heaven","156, ถนนนราธิวาส สีลม บางรัก กรุงเทพมหานคร\n","https://maps.app.goo.gl/s7KERLnGU5dCeihW9\n","101 – 250 บาท\n"
"Unbirthday Cafe","2C มาเป็งเส็ง อพาร์ทเม้นท์ สุขุมวิท 31, แขวงคลองตันเหนือ เขตวัฒนา กรุงเทพฯ\n","https://goo.gl/maps/SrATrRhVvNnuWJrb6\n","100 – 250 บาท\n"
"TRUST Cafe and Studio","23 ซอยชำนาญอักษร แขวงสามเสนใน เขตพญาไท กรุงเทพฯ\n","https://goo.gl/maps/1QJYzKuPboztyEnP7\n","100 – 200 บาท\n"
"Tangible Bangkok","มโหสวรรย์ 6 แขวงบางคอแหลม เขตบางคอแหลม กรุงเทพฯ\n","https://goo.gl/maps/e87zSvTAWfNPz1mu9เบอร์\n","100 – 300 บาท\n"
"The Hub Cafe And Eatery","199/9 เสรี 9 ซอย 4/1 แขวงสวนหลวง กรุงเทพฯ\n","https://goo.gl/maps/zw4SQSuPn5V6w65H7\n","250 – 500 บาท\n"
"ชวนพิสมัย คาเฟ่ (Chuan Pisama)","179 ซอย เจริญพร 1 แขวงสามเสนใน เขตพญาไท กรุงเทพฯ\n","https://goo.gl/maps/QPd2MdZzeJcPEp4f6\n","100 – 250 บาท\n"
"Other Café","101/7 ถนน รางน้ำ แขวงถนนพญาไท เขตราชเทวี กรุงเทพฯ\n","https://goo.gl/maps/JibQdGVpQ7K9GxwPA\n","100 – 250 บาท\n"
"สุขโข สโลว์บาร์ (Sukko Slow Bar)","3 ซอย ประดิพัทธิ์ 19 แขวงสามเสนใน เขตพญาไท กรุงเทพฯ\n","https://goo.gl/maps/AnAgQys1jni5EqSm8\n","100 – 200 บาท\n"
"ริ คาเฟ่ (Ri Cafe)","16/78 ลาดพร้าว 18 แยก 3 ถนนลาดพร้าว ซอยลาดพร้าว 15 เขตจตุจักร กรุงเทพฯ\n","https://goo.gl/maps/5dDmAVof7rsp32WW7\n","100 – 200 บาท\n"
"Favour Café","ซอยทวีผล แขวงพระบรมมหาราชวัง เขตพระนคร กรุงเทพฯ\n","https://goo.gl/maps/U2SPmcLEfn95ecKs7เบอร์\n","100 – 250 บาท\n"
